,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre__Action,Genre__Adventure,Genre__Fighting,Genre__Misc,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Rating__AO,Rating__E,Rating__E10+,Rating__M,Rating__RP,Rating__T
124,2000.0,5.3,94.0,8.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
125,2012.0,5.29,84.0,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
126,2003.0,5.29,85.0,6.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
127,2014.0,5.27,81.0,5.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
128,2009.0,5.26,90.0,8.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,2012.0,5.22,84.0,8.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
130,2004.0,5.21,89.0,8.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
131,2007.0,5.19,85.0,8.6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
132,2012.0,5.16,90.0,6.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,2012.0,5.14,88.0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
134,2003.0,5.13,68.0,7.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
135,2006.0,5.12,92.0,8.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,2010.0,5.1,80.0,6.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
137,2009.0,5.09,84.0,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
138,2007.0,5.08,90.0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
139,2010.0,5.07,89.0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
140,1996.0,5.05,91.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
141,2006.0,5.03,86.0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,1999.0,5.02,92.0,9.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
143,2007.0,4.98,82.0,8.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,2007.0,4.98,68.0,7.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
145,2008.0,4.93,93.0,8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
146,2007.0,4.92,88.0,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147,2005.0,4.91,88.0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
148,2010.0,4.84,93.0,8.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
149,2007.0,4.82,81.0,7.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150,2010.0,4.8,92.0,8.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,1999.0,4.79,88.0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
152,2007.0,4.76,80.0,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,2000.0,4.73,62.0,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,2011.0,4.73,94.0,8.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,2000.0,4.68,98.0,7.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
156,2002.0,4.67,82.0,8.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
