,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre__Action,Genre__Adventure,Genre__Fighting,Genre__Misc,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Rating__AO,Rating__E,Rating__E10+,Rating__M,Rating__RP,Rating__T
67,2015.0,7.16,87.0,65.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
68,1998.0,7.16,96.0,91.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,2006.0,7.15,95.0,90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,1998.0,7.13,91.0,89.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
71,2014.0,7.09,88.0,91.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
72,2001.0,7.07,92.0,91.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,2004.0,6.9,82.0,86.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
74,2002.0,6.83,88.0,85.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
75,2012.0,6.76,74.0,73.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,2008.0,6.75,93.0,77.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
77,2011.0,6.74,92.0,83.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,2007.0,6.68,94.0,84.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
79,2009.0,6.66,96.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,2005.0,6.62,74.0,74.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,2010.0,6.49,95.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,2013.0,6.47,86.0,43.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
83,2012.0,6.45,85.0,69.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,2010.0,6.44,87.0,86.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
85,2001.0,6.43,97.0,86.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
86,2011.0,6.41,92.0,64.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
87,2004.0,6.41,76.0,90.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
88,2002.0,6.4,85.0,88.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
89,2009.0,6.34,83.0,71.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
